Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
overweight,female,vegan,daily,wood,walk/bicycle,often,74,very frequently,65,large,2,0,29,14,Sometimes,2470
obese,female,vegan,more frequently,wood,walk/bicycle,often,101,rarely,47,extra large,1,7,23,17,Yes,1273
overweight,male,omnivore,twice a day,natural gas,public,often,123,never,1318,large,3,17,30,3,Sometimes,1753
underweight,male,omnivore,more frequently,electricity,walk/bicycle,often,117,frequently,50,large,4,13,37,18,Yes,1841
obese,male,vegetarian,daily,wood,public,sometimes,250,rarely,1457,large,4,23,8,12,No,1801
underweight,female,vegan,twice a day,natural gas,private,sometimes,262,very frequently,9486,extra large,6,1,17,8,Yes,5480
overweight,female,vegetarian,more frequently,electricity,private,often,279,very frequently,6843,extra large,2,24,13,14,Yes,4929
normal,male,vegetarian,more frequently,natural gas,public,often,225,frequently,655,extra large,6,22,8,4,Sometimes,2309
normal,female,vegetarian,daily,electricity,public,sometimes,175,never,1691,medium,6,8,48,14,Yes,1311
normal,male,pescatarian,less frequently,natural gas,public,often,181,rarely,1719,large,4,11,14,17,Sometimes,1681
obese,female,vegetarian,more frequently,natural gas,public,never,123,never,1795,extra large,3,19,27,23,Sometimes,1374
underweight,female,vegetarian,daily,natural gas,private,never,196,frequently,1834,extra large,5,10,22,1,No,1713
underweight,male,vegan,daily,coal,public,often,186,very frequently,66,large,1,1,18,24,No,2547
overweight,male,vegan,less frequently,wood,private,often,291,rarely,4605,extra large,7,4,16,21,Sometimes,2333
normal,female,vegetarian,less frequently,natural gas,walk/bicycle,often,113,never,36,small,5,3,18,2,Sometimes,999
obese,male,pescatarian,twice a day,wood,private,sometimes,112,very frequently,9197,medium,5,24,46,2,No,3270
overweight,male,omnivore,daily,natural gas,public,sometimes,246,never,1191,extra large,1,15,3,4,Sometimes,952
overweight,male,vegetarian,more frequently,wood,walk/bicycle,never,296,never,35,large,7,2,12,17,Sometimes,1745
obese,male,omnivore,less frequently,natural gas,public,often,247,very frequently,150,small,2,3,21,3,No,2917
overweight,male,pescatarian,twice a day,wood,public,never,175,very frequently,1777,small,5,14,9,22,No,2930
obese,male,vegetarian,more frequently,natural gas,public,never,241,frequently,1400,extra large,3,4,47,4,Yes,2743
obese,female,vegetarian,less frequently,electricity,public,often,269,rarely,344,medium,5,22,39,8,Yes,1638
underweight,female,vegan,twice a day,wood,walk/bicycle,often,190,frequently,29,extra large,7,0,38,21,No,2186
obese,male,omnivore,twice a day,natural gas,private,sometimes,203,very frequently,4987,medium,7,3,31,0,Yes,4998
normal,female,pescatarian,daily,electricity,walk/bicycle,never,297,very frequently,98,small,5,1,14,0,Yes,1674
obese,female,vegan,twice a day,wood,public,often,269,rarely,1763,extra large,4,22,25,10,Sometimes,1813
normal,female,vegan,daily,natural gas,walk/bicycle,never,68,never,49,small,5,3,22,10,No,854
underweight,male,pescatarian,less frequently,electricity,private,often,59,never,7192,extra large,2,10,36,20,Yes,1194
underweight,female,pescatarian,more frequently,coal,walk/bicycle,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,2562
overweight,male,vegan,daily,electricity,public,never,299,rarely,1326,extra large,5,9,9,19,Yes,1739
obese,female,pescatarian,daily,electricity,public,never,250,rarely,821,extra large,4,11,18,19,Sometimes,1616
obese,male,vegetarian,less frequently,electricity,walk/bicycle,often,179,never,56,small,1,5,35,13,Yes,1062
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,never,192,never,68,extra large,5,13,7,20,Yes,1178
overweight,female,pescatarian,less frequently,electricity,public,often,272,frequently,756,small,5,1,46,20,Sometimes,2109
overweight,male,vegan,more frequently,natural gas,walk/bicycle,never,255,never,72,extra large,6,8,12,1,Yes,1495
overweight,male,omnivore,daily,coal,walk/bicycle,often,252,never,19,large,6,10,6,8,Yes,1904
normal,male,vegan,twice a day,electricity,walk/bicycle,never,237,rarely,30,extra large,4,12,7,22,Sometimes,1253
underweight,male,pescatarian,more frequently,wood,private,never,72,rarely,7255,small,2,0,50,1,Sometimes,3134
obese,female,omnivore,less frequently,coal,walk/bicycle,sometimes,232,very frequently,57,large,1,17,5,22,Sometimes,2613
overweight,female,vegetarian,more frequently,wood,walk/bicycle,sometimes,280,never,34,extra large,3,6,37,15,Yes,1539
underweight,female,omnivore,less frequently,coal,walk/bicycle,never,194,frequently,96,medium,3,9,28,24,Sometimes,1775
overweight,female,vegetarian,less frequently,wood,private,often,124,never,1632,small,7,22,3,6,Yes,1256
underweight,male,vegetarian,twice a day,wood,walk/bicycle,sometimes,58,frequently,10,small,4,20,47,21,Yes,1778
overweight,female,pescatarian,daily,wood,private,never,267,frequently,2960,small,3,7,37,19,No,2538
underweight,male,pescatarian,less frequently,wood,public,often,274,very frequently,406,large,5,13,14,1,Sometimes,2696
obese,male,vegan,twice a day,electricity,public,never,124,rarely,1336,extra large,4,10,34,20,Yes,2076
overweight,female,vegetarian,daily,coal,private,never,136,rarely,3030,medium,2,24,18,9,Sometimes,1980
normal,male,vegan,more frequently,coal,public,sometimes,147,very frequently,438,medium,1,8,22,5,No,2268
overweight,male,vegetarian,more frequently,coal,public,sometimes,216,frequently,1283,large,7,1,28,12,Yes,2809
overweight,female,omnivore,more frequently,wood,public,sometimes,215,frequently,1592,medium,6,13,26,4,No,2227
obese,male,vegetarian,daily,coal,private,never,257,never,7455,medium,4,0,27,21,Yes,3100
underweight,male,vegan,more frequently,coal,walk/bicycle,never,186,never,21,medium,4,16,23,14,Yes,1208
overweight,male,pescatarian,daily,wood,private,sometimes,125,rarely,1507,extra large,5,8,49,4,Sometimes,2554
obese,male,vegetarian,more frequently,coal,public,never,157,very frequently,1880,medium,4,16,49,13,No,4021
overweight,male,omnivore,more frequently,coal,private,never,249,frequently,3007,large,3,24,46,24,Yes,3762
underweight,male,pescatarian,daily,coal,walk/bicycle,often,65,frequently,69,small,6,7,31,9,Yes,2373
underweight,female,omnivore,twice a day,coal,private,often,281,rarely,3606,small,3,16,8,22,Sometimes,1909
underweight,male,omnivore,daily,wood,walk/bicycle,sometimes,239,never,79,small,4,10,33,10,Sometimes,1397
underweight,female,pescatarian,daily,coal,private,sometimes,76,frequently,6819,large,4,11,48,9,Yes,2207
overweight,female,vegetarian,more frequently,coal,walk/bicycle,never,243,rarely,36,extra large,2,13,38,11,Sometimes,1917
underweight,female,vegan,twice a day,natural gas,private,often,179,frequently,4129,extra large,7,16,29,1,Sometimes,2393
normal,female,omnivore,daily,coal,private,often,75,very frequently,9525,medium,7,0,5,6,Sometimes,4642
underweight,male,vegan,daily,coal,walk/bicycle,often,263,frequently,14,small,1,7,9,2,Sometimes,1692
overweight,female,omnivore,daily,wood,private,never,90,rarely,9950,large,7,21,45,5,No,5029
normal,male,vegetarian,less frequently,coal,private,never,274,frequently,5167,large,3,15,32,23,Sometimes,3698
underweight,male,pescatarian,daily,wood,walk/bicycle,often,116,frequently,27,large,4,10,45,1,Sometimes,2332
overweight,male,omnivore,daily,coal,walk/bicycle,often,272,never,60,medium,5,17,24,10,No,2246
normal,male,omnivore,less frequently,electricity,private,sometimes,138,never,7266,extra large,6,6,1,22,Yes,4155
obese,male,vegetarian,twice a day,natural gas,private,never,257,very frequently,5517,large,4,0,7,20,Yes,2758
normal,male,vegetarian,less frequently,electricity,walk/bicycle,often,244,very frequently,25,large,4,0,24,3,Sometimes,2377
normal,male,vegetarian,daily,wood,walk/bicycle,sometimes,193,very frequently,7,extra large,3,10,43,7,Sometimes,2764
normal,male,vegan,more frequently,electricity,private,sometimes,182,rarely,7526,medium,2,19,3,0,No,3540
normal,female,vegan,less frequently,coal,public,sometimes,190,rarely,562,small,7,4,48,22,No,1706
obese,female,pescatarian,more frequently,natural gas,public,sometimes,59,very frequently,444,medium,4,24,36,13,No,2819
overweight,female,pescatarian,daily,natural gas,public,often,198,frequently,1906,large,5,2,15,7,Yes,2167
overweight,male,pescatarian,twice a day,wood,public,sometimes,224,very frequently,834,small,5,7,22,8,Yes,2729
obese,female,pescatarian,less frequently,coal,walk/bicycle,sometimes,268,frequently,98,large,5,22,40,8,No,2678
overweight,female,pescatarian,more frequently,natural gas,public,often,69,very frequently,1481,medium,6,18,34,2,No,2636
underweight,male,omnivore,more frequently,electricity,private,sometimes,197,never,9549,extra large,5,8,34,17,Yes,3136
normal,male,vegan,daily,coal,private,often,201,never,6761,small,1,17,41,7,Sometimes,4016
underweight,male,omnivore,less frequently,natural gas,public,often,284,frequently,1432,extra large,6,15,37,5,No,2819
overweight,female,omnivore,daily,coal,public,often,120,frequently,919,extra large,1,0,3,4,Sometimes,1729
underweight,female,vegetarian,daily,electricity,walk/bicycle,often,73,rarely,15,medium,1,5,27,17,No,1023
normal,male,pescatarian,less frequently,electricity,walk/bicycle,sometimes,56,frequently,7,small,4,15,24,7,Yes,1613
obese,female,pescatarian,more frequently,natural gas,public,often,143,rarely,1403,small,3,20,28,14,Sometimes,1376
normal,male,vegetarian,more frequently,natural gas,private,often,247,never,7587,medium,4,14,3,16,Yes,3796
obese,male,pescatarian,daily,electricity,public,never,177,rarely,1311,large,3,12,18,24,Yes,1384
normal,female,pescatarian,daily,coal,public,sometimes,289,never,1276,large,6,23,30,18,Yes,1690
obese,female,omnivore,more frequently,natural gas,public,never,65,frequently,992,small,1,17,27,4,Sometimes,1506
normal,female,pescatarian,less frequently,wood,private,often,58,very frequently,9933,medium,6,4,8,5,Yes,4206
underweight,male,omnivore,daily,wood,private,often,264,frequently,8451,large,7,21,36,20,Sometimes,5247
obese,male,vegetarian,daily,wood,public,sometimes,279,frequently,537,medium,3,5,3,8,Sometimes,2128
overweight,male,pescatarian,daily,wood,walk/bicycle,often,205,rarely,17,extra large,4,2,34,14,Yes,2307
underweight,male,vegan,daily,coal,private,sometimes,88,rarely,6775,small,7,10,27,24,Sometimes,1808
underweight,male,omnivore,daily,wood,public,sometimes,153,never,1724,extra large,6,11,13,17,Yes,1695
normal,female,omnivore,twice a day,wood,walk/bicycle,never,91,never,86,small,3,2,8,7,Sometimes,488
underweight,female,vegan,less frequently,wood,public,sometimes,130,never,1951,small,6,24,1,11,Yes,710
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,often,191,never,45,small,5,14,21,2,Yes,1043
overweight,female,vegan,less frequently,natural gas,walk/bicycle,never,236,rarely,82,extra large,4,8,8,6,Sometimes,971
normal,male,pescatarian,more frequently,coal,walk/bicycle,sometimes,142,never,65,medium,3,10,43,22,No,1988
normal,female,omnivore,twice a day,coal,private,sometimes,229,very frequently,3436,extra large,6,4,48,1,No,4040
underweight,female,pescatarian,twice a day,wood,public,sometimes,140,rarely,490,extra large,3,16,0,17,No,1137
obese,male,vegetarian,less frequently,natural gas,private,sometimes,54,very frequently,9507,large,5,13,35,13,No,6621
overweight,male,pescatarian,daily,coal,private,often,111,never,681,small,6,0,46,15,Sometimes,2334
overweight,male,vegan,less frequently,electricity,public,never,229,never,1285,small,5,14,29,6,Yes,895
overweight,male,pescatarian,daily,natural gas,walk/bicycle,never,106,never,19,small,2,20,12,2,No,821
underweight,female,pescatarian,less frequently,wood,walk/bicycle,never,65,rarely,58,small,1,7,39,13,Yes,933
normal,male,vegetarian,daily,coal,walk/bicycle,never,103,frequently,0,extra large,3,10,2,22,Sometimes,1642
normal,male,vegan,twice a day,natural gas,private,often,107,very frequently,1525,small,5,21,22,9,No,2781
underweight,female,vegan,less frequently,natural gas,public,often,185,rarely,1489,large,5,23,14,1,Sometimes,1249
normal,female,omnivore,twice a day,natural gas,private,sometimes,296,rarely,8641,medium,4,19,3,20,Sometimes,2778
obese,female,pescatarian,less frequently,electricity,walk/bicycle,often,232,never,0,extra large,7,18,21,8,No,2092
underweight,female,pescatarian,more frequently,coal,public,sometimes,104,frequently,1445,large,2,4,46,24,No,2022
underweight,female,vegan,less frequently,coal,walk/bicycle,sometimes,186,frequently,62,large,7,17,24,10,Yes,2165
underweight,male,vegan,more frequently,electricity,private,never,57,never,3147,medium,1,3,46,21,No,1626
underweight,male,pescatarian,daily,natural gas,walk/bicycle,often,180,never,43,small,3,11,26,11,Sometimes,996
underweight,male,omnivore,less frequently,wood,public,never,67,rarely,1582,small,7,4,26,20,No,1352
normal,male,pescatarian,twice a day,coal,public,often,56,rarely,780,medium,7,14,14,5,Sometimes,1916
obese,male,omnivore,daily,natural gas,public,never,172,frequently,353,large,3,0,27,24,No,2584
overweight,female,vegan,less frequently,coal,private,never,89,very frequently,8843,extra large,1,3,7,8,Sometimes,1945
underweight,male,omnivore,less frequently,natural gas,public,sometimes,72,never,1415,extra large,7,7,20,2,No,1823
normal,male,vegetarian,twice a day,natural gas,walk/bicycle,never,182,never,28,medium,2,13,9,17,Sometimes,849
overweight,female,pescatarian,more frequently,natural gas,private,never,132,never,7092,medium,4,2,40,0,Yes,2319
obese,male,omnivore,daily,electricity,private,never,160,frequently,9408,large,7,21,23,7,No,4787
overweight,female,vegetarian,more frequently,coal,public,never,118,very frequently,614,medium,4,22,13,17,No,2552
normal,male,vegan,daily,electricity,walk/bicycle,often,254,never,73,small,7,16,4,20,No,925
underweight,male,pescatarian,twice a day,electricity,private,never,243,never,2787,large,2,21,16,14,Yes,1126
underweight,female,vegan,more frequently,electricity,private,never,132,frequently,5832,extra large,1,0,35,12,Yes,3027
underweight,female,vegan,daily,natural gas,private,often,263,rarely,5844,extra large,6,15,40,19,Yes,3866
obese,male,pescatarian,daily,wood,walk/bicycle,often,56,very frequently,7,medium,5,9,7,11,No,2717
obese,male,pescatarian,twice a day,natural gas,walk/bicycle,never,101,very frequently,39,large,1,19,34,17,No,3080
overweight,male,vegan,more frequently,natural gas,public,sometimes,140,frequently,1923,medium,3,16,14,11,Sometimes,1879
underweight,female,vegetarian,less frequently,wood,walk/bicycle,never,69,very frequently,53,extra large,1,18,23,14,Yes,1943
obese,male,omnivore,daily,wood,private,often,64,very frequently,454,medium,3,16,26,13,Yes,3311
overweight,female,vegan,more frequently,wood,walk/bicycle,often,161,rarely,9,large,4,9,40,24,Yes,1917
overweight,male,vegan,less frequently,coal,public,often,245,frequently,118,large,5,1,36,17,Yes,2926
normal,female,vegetarian,more frequently,wood,public,often,267,frequently,1011,large,6,13,42,1,Yes,2324
obese,female,vegetarian,less frequently,coal,private,sometimes,172,never,5093,extra large,4,11,42,7,Yes,3913
underweight,male,vegetarian,daily,wood,private,never,85,very frequently,678,extra large,7,20,41,0,Yes,3036
overweight,female,vegan,less frequently,coal,walk/bicycle,never,53,never,86,large,2,19,12,2,Sometimes,847
underweight,female,omnivore,more frequently,electricity,private,never,121,never,5401,small,1,16,8,13,Sometimes,2063
obese,male,vegan,more frequently,wood,public,sometimes,54,never,1159,small,1,15,32,2,Yes,1127
underweight,female,vegan,more frequently,natural gas,public,sometimes,236,never,1585,medium,3,1,42,23,Sometimes,1281
overweight,male,vegetarian,twice a day,natural gas,public,often,168,rarely,989,large,4,1,12,1,Yes,1533
underweight,male,omnivore,less frequently,coal,private,never,187,frequently,8542,large,1,18,7,19,No,4131
overweight,male,pescatarian,daily,coal,public,often,109,frequently,561,small,6,0,2,11,No,1877
obese,female,omnivore,twice a day,electricity,public,often,294,very frequently,1182,extra large,6,24,46,5,Yes,3606
obese,female,pescatarian,twice a day,electricity,walk/bicycle,never,264,very frequently,51,small,6,4,6,24,Yes,2318
normal,female,vegan,daily,natural gas,public,often,106,never,1824,small,7,4,47,1,No,1440
underweight,female,vegan,more frequently,natural gas,walk/bicycle,sometimes,176,very frequently,77,small,6,13,19,12,Sometimes,1787
underweight,female,vegan,twice a day,electricity,walk/bicycle,never,81,frequently,8,medium,5,24,24,10,No,1363
